Year   Fire Name                   Location  State      Acres
2001   Survey Line                 AK- DOD   AK        106800
2000   Valley Complex              MT-BRF    MT        292070
2000   Clear Creek Complex         ID-SCF    ID        216961
2000   Eastern Idaho Complex       ID-IFD    ID        192450
2000   Command 24                  WA-SPD    WA        192000
2000   SCF Wilderness              ID-SCF    ID        182600
2000   Zitziana                    AK-TAD    AK        166177
2000   Two Fork                    WA-SPD    WA        151000
2000   Kate's Basin Complex        WY-WRA    WY        137600
2000   Diamond Peak                ID-PAF    ID        125000
2000   Bering Creek                AK-TAD    AK        122994
2000   Mule Dry                    WA-WFS    WA        110000
2000   Jackson Fire                OR-VAD    OR        108000
2000   Maudlow/ Toston             MT-CES    MT        100000
1999   Dun Glen Complex            NV-WID    NV        361658
1999   Sadler Complex              NV-EKD    NV        297000
1999   Battle Mountain Complex     NV-BWD    NV        208031
1999   Corridor Complex            NV-WID    NV        171600
1999   Mule Butte                  ID-IFD    ID        144000
1999   Big Bar Complex             CA-SHF    CA        140948
1999   Jungo Complex               NV-WID    NV        125480
1999   Kink                        AK-UYD    AK        100000
1997   Inowak                      AK-AKS    AK        610000
Total(Square miles):                                    54813
**********************************************************************

State                                     Total Damage(Acres)
OR                                                    3139871
WA                                                    1035119
AK                                                   10497103
CA                                                    2702692
ID                                                    5157564
NM                                                     694547
NV                                                    3548579
MT                                                    1647071
UT                                                     470898
AZ                                                    1597451
TX                                                    2543172
GA                                                     981141
FL                                                     108574
OK                                                     531650
SD                                                     351000
A                                                      485349
CO                                                     137760
**********************************************************************

Year                                      Total Damage(Acres)
2014                                                   981769
2013                                                  1257162
2012                                                  3872340
2011                                                  2712769
2010                                                   587276
2009                                                  2962362
2008                                                   782600
2007                                                  3717190
2006                                                  3800402
2005                                                  1817170
2004                                                  4894183
2003                                                   725477
2002                                                  3114672
2001                                                   286200
2000                                                  2096852
1999                                                  1548717
**********************************************************************

Worst Fires                                             Acres
1                                                     1305592
2                                                      907245
3                                                      652016
4                                                      636224
5                                                      614974
6                                                      610000
7                                                      557628
8                                                      547505
9                                                      538049
10                                                     537098
**********************************************************************
